City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,papatowai,-46.5619,169.4708,14.84,71,62,3.25,NZ,1712455990
83,portland,45.5234,-122.6762,10.28,90,100,3.09,US,1712455797
84,el calafate,-50.3408,-72.2768,4.34,68,4,5.33,AR,1712455990
85,bredasdorp,-34.5322,20.0403,16.56,81,93,10.81,ZA,1712455719
86,el bagre,7.5927,-74.8086,25.55,93,74,0.57,CO,1712455990
87,mirnyy,62.5353,113.9611,-12.65,85,43,3.58,RU,1712455990
88,igarka,67.4667,86.5833,-13.56,93,100,4.12,RU,1712455990
89,vadso,70.0744,29.7487,-5.51,79,75,6.69,NO,1712455990
90,urucara,-2.5364,-57.76,23.55,97,96,0.5,BR,1712455990
91,alesund,62.4723,6.1549,13.51,71,75,6.17,NO,1712455990
92,wailua homesteads,22.0669,-159.378,26.24,77,100,10.29,US,1712455991
93,port alfred,-33.5906,26.891,19.25,73,100,11.34,ZA,1712455991
94,taksimo,56.3444,114.8794,-11.93,61,14,0.51,RU,1712455991
95,sao joao da barra,-21.6403,-41.0511,22.26,85,3,2.8,BR,1712455991
96,lionel town,17.8101,-77.2406,29.94,83,1,2.19,JM,1712455991
97,college,64.8569,-147.8028,4.49,45,75,1.54,US,1712455991
98,qaqortoq,60.7167,-46.0333,-3.18,80,100,0.91,GL,1712455991
99,smithers,54.7804,-127.1743,5.98,57,96,2.3,CA,1712455811
100,kindu,-2.95,25.95,20.22,99,100,1.06,CD,1712455991
101,carnarvon,-24.8667,113.6333,25.96,56,0,7.55,AU,1712455991
102,saipan,15.1355,145.701,31.39,58,20,11.32,MP,1712455991
103,dhidhdhoo,6.8833,73.1,28.84,74,98,4.04,MV,1712455991
104,aykhal,66.0,111.5,-11.3,92,100,12.76,RU,1712455991
105,lashio,22.9333,97.75,30.0,29,3,0.12,MM,1712455991
106,tazovsky,67.4667,78.7,-10.21,80,32,8.16,RU,1712455991
107,al kharijah,25.4514,30.5464,17.27,27,0,4.1,EG,1712455991
108,ribeira grande,38.5167,-28.7,17.1,94,100,10.28,PT,1712455991
109,lahore,31.5497,74.3436,20.99,60,0,0.0,PK,1712455740
110,cabo san lucas,22.8909,-109.9124,21.95,68,75,0.0,MX,1712455829
111,usogorsk,63.4106,48.6872,-5.74,84,100,4.76,RU,1712455992
112,sitka,57.0531,-135.33,2.94,81,75,2.57,US,1712455992
113,kone,-21.0595,164.8658,30.13,45,96,3.71,NC,1712455992
114,stanley,54.868,-1.6985,8.77,88,40,7.2,GB,1712455840
115,carhuaz,-9.2819,-77.6447,15.04,91,96,1.41,PE,1712455992
116,kontagora,10.3999,5.4695,29.32,50,100,2.54,NG,1712455992
117,bontang,0.1333,117.5,27.27,84,100,2.62,ID,1712455992
118,ballina,-28.8667,153.5667,24.72,86,65,1.99,AU,1712455992
119,iskateley,67.6803,53.1512,-6.1,94,100,6.71,RU,1712455992
120,port augusta,-32.5,137.7667,19.48,54,98,4.86,AU,1712455992
121,lompoc,34.6391,-120.4579,14.32,65,0,7.2,US,1712455992
